filename,label,confidence,source
ab02c8c4.jpg,Goat,1.0,train
29e74a72.jpg,Naeimi,1.0,train
9409a7b2.jpg,Sawakni,1.0,train
8e6e3e2b.jpg,Naeimi,1.0,train
ab3c689a.jpg,Naeimi,1.0,train
13618e8d.jpg,Goat,1.0,train
194ac3b0.jpg,Sawakni,1.0,train
3808d41c.jpg,Goat,1.0,train
15a016f7.jpg,Harri,1.0,train
057a4265.jpg,Goat,1.0,train
da3c0d9d.jpg,Naeimi,1.0,train
4c50357f.jpg,Naeimi,1.0,train
0f1dbdf9.jpg,Naeimi,1.0,train
8e31ff24.jpg,Goat,1.0,train
2318480a.jpg,Najdi,1.0,train
e4812908.jpg,Goat,1.0,train
339444bd.jpg,Sawakni,1.0,train
ac2187a2.jpg,Naeimi,1.0,train
74adacb6.jpg,Naeimi,1.0,train
cfa48d20.jpg,Najdi,1.0,train
6f2abae1.jpg,Naeimi,1.0,train
e417d09a.jpg,Najdi,1.0,train
3261950f.jpg,Naeimi,1.0,train
00e2f43f.jpg,Goat,1.0,train
de1d5a0c.jpg,Naeimi,1.0,train
9029b83c.jpg,Barbari,1.0,train
ef84e17c.jpg,Naeimi,1.0,train
9173052b.jpg,Harri,1.0,train
c78f3e2a.jpg,Naeimi,1.0,train
eec8b01e.jpg,Sawakni,1.0,train
2c0ea8a4.jpg,Naeimi,1.0,train
fc48f9e0.jpg,Goat,1.0,train
4baa1e02.jpg,Naeimi,1.0,train
8c0907bc.jpg,Naeimi,1.0,train
f47dfc80.jpg,Najdi,1.0,train
0306fa89.jpg,Barbari,0.99392396,pseudo
0345e3ca.jpg,Roman,0.97622377,pseudo
0551a473.jpg,Sawakni,0.9990015,pseudo
08b9981b.jpg,Barbari,0.96792144,pseudo
10e27bf7.jpg,Roman,0.99096525,pseudo
11bc3308.jpg,Sawakni,0.9983619,pseudo
1558450b.jpg,Najdi,0.9750055,pseudo
167094c8.jpg,Barbari,0.9973453,pseudo
16c511c0.jpg,Najdi,0.9993833,pseudo
16d11d2d.jpg,Roman,0.9793064,pseudo
175fdb7a.jpg,Barbari,0.98537266,pseudo
183485e0.jpg,Goat,0.9955208,pseudo
21f0f191.jpg,Roman,0.9955047,pseudo
2437c1aa.jpg,Roman,0.9857127,pseudo
277c7676.jpg,Sawakni,0.99544305,pseudo
27ca08cb.jpg,Barbari,0.9914671,pseudo
33b770d0.jpg,Barbari,0.99578965,pseudo
33db0590.jpg,Roman,0.9950625,pseudo
34e2f10c.jpg,Najdi,0.99163836,pseudo
3f4cd7c8.jpg,Sawakni,0.9971218,pseudo
417f9c7d.jpg,Naeimi,0.96319515,pseudo
449c69af.jpg,Harri,0.9895204,pseudo
4527e608.jpg,Najdi,0.9986019,pseudo
49c7de85.jpg,Goat,0.99132615,pseudo
4a63e293.jpg,Najdi,0.99800366,pseudo
50ce0b34.jpg,Sawakni,0.9986981,pseudo
5334f219.jpg,Goat,0.989847,pseudo
5550a0fd.jpg,Sawakni,0.9983206,pseudo
5a59b831.jpg,Roman,0.9932144,pseudo
5b376777.jpg,Goat,0.9604038,pseudo
5e5865b3.jpg,Roman,0.9969684,pseudo
6059f28e.jpg,Sawakni,0.9972496,pseudo
72c3d72f.jpg,Najdi,0.9981245,pseudo
74b88387.jpg,Goat,0.985809,pseudo
7bd8fdcb.jpg,Goat,0.9758911,pseudo
7d1844c5.jpg,Sawakni,0.99669755,pseudo
7dda15b0.jpg,Naeimi,0.9631094,pseudo
80e5adf2.jpg,Roman,0.9776839,pseudo
895567eb.jpg,Goat,0.97511214,pseudo
8bba2746.jpg,Roman,0.9706299,pseudo
8dbe2536.jpg,Roman,0.9704752,pseudo
915322c7.jpg,Najdi,0.9947941,pseudo
93982d6d.jpg,Harri,0.9869587,pseudo
97e8d52b.jpg,Goat,0.9974658,pseudo
9bcc92c8.jpg,Goat,0.9987997,pseudo
9d7898ec.jpg,Najdi,0.9632738,pseudo
9f66ec17.jpg,Goat,0.99218667,pseudo
a1c8507a.jpg,Roman,0.9913052,pseudo
a1d8a059.jpg,Najdi,0.9945534,pseudo
a4263cc6.jpg,Naeimi,0.970706,pseudo
ac05d489.jpg,Goat,0.97948724,pseudo
acc9295b.jpg,Sawakni,0.97178566,pseudo
adb8c21c.jpg,Roman,0.9888358,pseudo
afe59632.jpg,Najdi,0.99245536,pseudo
b2be18b6.jpg,Sawakni,0.9986436,pseudo
b2f1cf49.jpg,Goat,0.9663806,pseudo
b4751008.jpg,Goat,0.9916158,pseudo
b67d2ccb.jpg,Najdi,0.97412026,pseudo
bd22c104.jpg,Najdi,0.968726,pseudo
bd342842.jpg,Harri,0.98481834,pseudo
c0503460.jpg,Roman,0.98668987,pseudo
c63d696e.jpg,Najdi,0.9942249,pseudo
cb41f4d3.jpg,Roman,0.9982667,pseudo
cd147b39.jpg,Roman,0.99654305,pseudo
cf87528a.jpg,Naeimi,0.9798045,pseudo
cfb691dc.jpg,Goat,0.9891837,pseudo
d214d98e.jpg,Harri,0.9767848,pseudo
d5a8662e.jpg,Najdi,0.98101264,pseudo
d95f234b.jpg,Barbari,0.9823438,pseudo
dad481e9.jpg,Barbari,0.9851066,pseudo
dcd0ef6f.jpg,Sawakni,0.9957367,pseudo
de3bc302.jpg,Najdi,0.9986218,pseudo
de561566.jpg,Goat,0.9967166,pseudo
deecae2a.jpg,Goat,0.988879,pseudo
ed9f6250.jpg,Naeimi,0.9840393,pseudo
f15e7311.jpg,Goat,0.97067654,pseudo
f3baa5d2.jpg,Barbari,0.9770257,pseudo
f3e7b1fe.jpg,Roman,0.99380815,pseudo
faadf33d.jpg,Roman,0.9959568,pseudo
163f0957.jpg,Harri,0.9,cluster
18a45994.jpg,Harri,0.9,cluster
2ebc35e2.jpg,Harri,0.9,cluster
30503f9d.jpg,Harri,0.9,cluster
47385f1a.jpg,Harri,0.9,cluster
a03784d5.jpg,Harri,0.9,cluster
bb126871.jpg,Harri,0.9,cluster
d72ea4f1.jpg,Harri,0.9,cluster
0cfc6a1e.jpg,Goat,0.9,cluster
3b138401.jpg,Goat,0.9,cluster
ac78a48d.jpg,Goat,0.9,cluster
b4bedb08.jpg,Goat,0.9,cluster
100bd43a.jpg,Roman,0.9,cluster
34ad5737.jpg,Roman,0.9,cluster
63be3b9a.jpg,Roman,0.9,cluster
e26ccad9.jpg,Roman,0.9,cluster
1081d46a.jpg,Naeimi,0.9,cluster
226dc6ee.jpg,Naeimi,0.9,cluster
3c5436f0.jpg,Naeimi,0.9,cluster
596f77ab.jpg,Naeimi,0.9,cluster
914de5e2.jpg,Naeimi,0.9,cluster
a9ed036d.jpg,Naeimi,0.9,cluster
f080711d.jpg,Naeimi,0.9,cluster
1432d91c.jpg,Barbari,0.9,cluster
247fb4df.jpg,Najdi,0.9,cluster
b69c3ee4.jpg,Najdi,0.9,cluster
4c9138a1.jpg,Sawakni,0.9,cluster
5d3b3719.jpg,Sawakni,0.9,cluster
6d66297e.jpg,Sawakni,0.9,cluster
85fe3a81.jpg,Sawakni,0.9,cluster
a6518778.jpg,Sawakni,0.9,cluster
ab9babec.jpg,Sawakni,0.9,cluster
e8c1e128.jpg,Sawakni,0.9,cluster
ff19c491.jpg,Sawakni,0.9,cluster
